No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
523,1,3000000,1,0,0,1,0
524,1,3500000,0,2,0,3,0
525,1,3000000,1,1,0,2,0
526,1,1500000,1,2,0,1,1
527,1,8000000,1,2,1,3,1
528,1,4000000,1,1,0,2,0
529,1,1500000,1,1,0,2,0
530,1,6000000,1,1,0,2,0
531,1,10000000,1,4,1,3,0
532,1,6000000,1,1,1,2,0
533,1,6000000,1,2,0,2,0
534,1,4500000,1,2,1,2,0
535,1,5000000,1,2,0,2,0
536,1,4000000,1,2,1,2,0
537,1,1000000,0,1,0,2,0
538,1,4796540,0,2,0,3,0
539,1,9000000,1,3,1,3,0
540,1,3500000,1,2,1,3,0
541,1,7000000,1,3,0,3,0
542,1,20000000,1,2,2,3,0
543,1,2474100,1,2,0,2,0
544,1,5000000,1,2,1,2,0
545,2,2000000,1,1,0,2,1
546,1,8000000,1,3,1,2,0
547,1,1500000,0,1,0,1,1
548,1,4500000,1,2,0,1,0
549,1,3000000,0,2,0,2,1
550,1,8000000,1,2,2,3,0
551,1,4200000,0,1,0,2,1
552,1,3500000,1,1,0,2,0
553,1,7000000,1,3,0,2,0
554,1,8000000,1,2,1,2,0
555,1,2000000,1,2,1,2,0
556,1,13000000,1,2,0,2,0
557,2,500000,0,2,0,3,1
558,1,6100000,1,3,0,2,0
559,1,4000000,1,3,0,2,0
560,1,11860000,0,0,1,3,0
561,1,5000000,1,1,0,3,0
562,1,3000000,1,1,1,3,0
563,1,6000000,1,2,0,2,0
564,1,2000000,0,2,0,2,1
565,2,4000000,1,3,1,3,0
566,4,5000000,1,1,0,2,0
567,1,4500000,1,2,0,2,0
568,1,1700000,1,3,0,1,0
569,1,4800000,1,2,1,3,0
570,1,4301000,1,1,0,2,0
571,1,2000000,1,1,0,2,1
572,1,3000000,1,2,0,2,0
573,1,3000000,1,1,1,2,0
574,1,3000000,1,2,0,2,0
575,1,300000,0,1,0,3,1
576,1,4000000,0,3,0,3,0
577,1,4300000,1,2,0,2,0
578,1,10000000,1,2,1,3,0
579,1,3500000,1,4,0,2,0
580,1,3250000,1,3,0,2,0
581,1,2500000,1,2,0,2,0
582,1,5000000,1,2,0,2,0
583,1,3000000,1,4,1,2,0
584,1,4000000,1,2,1,2,0
585,1,5000000,0,2,0,2,0
586,1,6500000,0,1,1,3,0
587,1,2500000,1,2,1,1,0
588,1,3000000,1,2,0,3,0
589,1,42000000,1,2,2,3,0
590,1,1000000,1,3,0,1,1
